Key,english,french,spanish,german,polish,brazilian,russian,turkish,tchinese
40mmGAmmo,40mm Grenade Ammo,Grenades de 40 mm,Munición para granadas de 40 mm,40-mm-Granatenmunition,40mm granatnik,Munição de granada de 40 mm,40-мм гранатометные боеприпасы,40mm El Bombası Mühimmatı,40公厘榴彈
40mmGAmmoDesc,40mm Grenade Ammo is used in most Grenade Launchers.\n\nCan be crafted at the Workbench or the Ammo Assembly Station .,Les grenades de 40 mm sont utilisées dans la plupart des lance-grenades.\n\nPeut être fabriquée sur l'établi ou la station d'assemblage de munitions.,La munición para granadas de 40 mm se utiliza en la mayoría de los lanzagranadas.\n\nSe puede fabricar en el banco de trabajo o en la estación de ensamblaje de munición.,40-mm-Granatenmunition wird in den meisten Granatwerfern verwendet.\n\nSie kann an der Werkbank oder der Munitionsmontagestation hergestellt werden.,Granatnik kalibru 40 mm jest używany w większości granatników.\n\nMożna go wytworzyć przy stole warsztatowym lub w stacji gromadzenia amunicji.,A munição de granada de 40 mm é usada na maioria dos lançadores de granadas.\n\nPode ser fabricada na bancada de trabalho ou na estação de montagem de munição.,Боеприпасы для гранат калибра 40 мм используются в большинстве гранатометов.\n\nМогут быть изготовлены на верстаке или на станции сборки боеприпасов.,40mm El Bombası Mühimmatı çoğu El Bombası Fırlatıcısında kullanılır.\n\nÇalışma Tezgahında veya Mühimmat Montaj İstasyonunda üretilebilir.,40mm榴彈用於大多數榴彈發射器。\n\n可在工作台或彈藥組裝站製作 .
40mmGAmmoFrag,40mm Grenade Ammo (Frag),Grenades de 40 mm (à fragmentation),Munición para granadas de 40 mm (fragmentación),40-mm-Granatenmunition (Splittergranaten),40 mm granatnik (odłamkowy),Munição de granada de 40 mm (fragmentação),40-мм гранатомётные боеприпасы (осколочные),40mm El Bombası Mühimmatı (Parçalı),40公厘榴彈（破片）
40mmGAmmoFragDesc,40mm Grenade Ammo is used in most Grenade Launchers.\n\nCan be crafted at the Workbench or the Ammo Assembly Station.,Les grenades de 40 mm sont utilisées dans la plupart des lance-grenades.\n\nPeut être fabriquée sur l'établi ou la station d'assemblage de munitions.,La munición para granadas de 40 mm se utiliza en la mayoría de los lanzagranadas.\n\nSe puede fabricar en el banco de trabajo o en la estación de ensamblaje de munición.,40-mm-Granatenmunition wird in den meisten Granatwerfern verwendet.\n\nSie kann an der Werkbank oder der Munitionsmontagestation hergestellt werden.,Amunicja kalibru 40 mm jest używana w większości granatników.\n\nMożna ją wytworzyć przy stole warsztatowym lub w stacji gromadzenia amunicji.,A munição de granada de 40 mm é usada na maioria dos lançadores de granadas.\n\nPode ser fabricada na bancada de trabalho ou na estação de montagem de munição.,Боеприпасы для гранат калибра 40 мм используются в большинстве гранатометов.\n\nМогут быть изготовлены на верстаке или на станции сборки боеприпасов.,40mm El Bombası Mühimmatı çoğu El Bombası Fırlatıcısında kullanılır.\n\nÇalışma Tezgahında veya Mühimmat Montaj İstasyonunda üretilebilir.,40mm榴彈用於大多數榴彈發射器。\n\n可在工作台或彈藥組裝站製作.
advancedlockpicking_desc,Use the arrow keys to change the position of the pick locks. Then space to try to unlock.,Utilisez les touches fléchées pour changer la position des crochets dans la serrure. Puis appuyez sur la barre d'espace pour essayer de déverrouiller.,"Usa las flechas para cambiar la posición de las ganzúas. Luego, usa la barra espaciadora para intentar abrirlas.","Verwenden Sie die Pfeiltasten, um die Position der Dietriche zu ändern. Drücken Sie anschließend die Leertaste, um zu versuchen, das Schloss zu entriegeln.","Użyj klawiszy strzałek, aby zmienić położenie wytrychów. Następnie naciśnij spację, aby spróbować otworzyć.","Use as setas do teclado para mudar a posição das gazuas. Em seguida, pressione a barra de espaço para tentar destrancar.","Используйте клавиши со стрелками, чтобы изменить положение отмычек. Затем нажмите пробел, чтобы попробовать открыть замок.",Kilit açma düğmesinin konumunu değiştirmek için yön tuşlarını kullanın. Ardından kilidi açmayı denemek için boşluk tuşuna basın.,使用方向鍵改變撬鎖位置。然後按空格嘗試解鎖。
airDropTip,"Air Supply Drops can happen around mid-day.\n\nContaining excellent supplies, these crates are also zombie, animal and bandit magnets.\n\nBe prepared to fight for your right to open a crate!","Les largages de ravitaillement aérien peuvent avoir lieu vers midi.\n\nContenant d'excellentes fournitures, ces caisses sont également des aimants à zombies, animaux et bandits.\n\nSoyez prêt à vous battre pour pouvoir ouvrir une caisse !","Los lanzamientos de suministros aéreos pueden ocurrir alrededor del mediodía.\n\nEstas cajas contienen excelentes suministros y también son imanes para zombis, animales y bandidos.\n\n¡Prepárate para luchar por tu derecho a abrir una caja!","Luftversorgungspakete können um die Mittagszeit abgeworfen werden.\n\nDiese Kisten enthalten hervorragende Vorräte, ziehen aber auch Zombies, Tiere und Banditen an.\n\nSeien Sie darauf vorbereitet, um das Recht zu kämpfen, eine Kiste zu öffnen!","Zrzuty zaopatrzenia mogą odbywać się około południa.\n\nSkrzynie te zawierają doskonałe zaopatrzenie, a przy tym przyciągają zombie, zwierzęta i bandytów.\n\nBądź przygotowany na walkę o prawo do otwierania skrzyń!","Os lançamentos aéreos de suprimentos podem ocorrer por volta do meio-dia.\n\nContendo excelentes suprimentos, essas caixas também atraem zumbis, animais e bandidos.\n\nPrepare-se para lutar pelo seu direito de abrir uma caixa!","Сброс грузов с воздуха может произойти около полудня.\n\nЭти ящики содержат отличные припасы и являются магнитом для зомби, животных и бандитов.\n\nБудьте готовы бороться за право открыть ящик!","Hava İkmalleri öğle saatlerinde gerçekleşebilir.\n\nMükemmel malzemeler içeren bu sandıklar aynı zamanda zombi, hayvan ve haydut mıknatıslarıdır.\n\nBir sandığı açma hakkınız için savaşmaya hazır olun!",中午左右可能會有補給空投。聼飛機飛過的聲音，跟著橙色煙霧尋找飛機投放的箱子。如果標記空投選項啓用，你也可以按照地圖上的標記尋找補給箱。
AlchemyTable001_FR,Alchemy Table,Table d'alchimie,Mesa de alquimia,Alchemietisch,Stół alchemiczny,Mesa de Alquimia,Алхимический стол,Simya Masası,煉金台
AlchemyTable001_FRDesc,Woah... groovy. I can probably make some [724c70]WITCH DOCTOR[-] related items here.,Woah... génial. Je peux probablement créer des objets liés à [724c70]WITCH DOCTOR[-] ici.,¡Guau! ¡Genial! Probablemente pueda hacer algunos artículos relacionados con el [724c70]MÉDICO BRUJO[-] aquí.,Wow... cool. Ich kann hier wahrscheinlich ein paar Sachen zum Thema [724c70]HEXENDOKTOR[-] machen.,Ooo... super. Pewnie mogę tu zrobić kilka przedmiotów związanych z [724c70]SZAMAJEM[-].,Uau... que legal. Provavelmente posso fazer alguns itens relacionados a [724c70]MÉDICO BRUXO[-] aqui.,"Ого... круто. Наверное, смогу сделать тут несколько вещей, связанных с [724c70]WITCH DOCTOR[-].",Vay canına... harika. Muhtemelen burada [724c70]WITCH DOCTOR[-] ile ilgili birkaç şey yapabilirim.,哇⋯太酷了。我大概可以在這裡製作一些[724c70]巫醫[-]相關物品。
AmbulanceDamaged,Damaged Ambulance,Ambulance endommagée,Ambulancia dañada,Beschädigter Krankenwagen,Uszkodzona karetka,Ambulância danificada,Поврежденная машина скорой помощи,Hasarlı Ambulans,受損救護車
AmbulanceHalfWreck,Half wrecked Ambulance,Ambulance à moitié détruite,Ambulancia medio destrozada,Halb zerstörter Krankenwagen,Półrozbita karetka,Ambulância parcialmente destruída,Наполовину разбитая машина скорой помощи,Yarı harap Ambulans,半毀救護車
