Key,File,Type,UsedInMainMenu,NoTranslate,english,tchinese

armorDangerGirlsLightArmor,items,Item,,,"DangerGirls Light Armors [e38d23](MS)","危險女郎輕型護甲 [e38d23](MS)"
armorDangerGirlsMediumArmor,items,Item,,,"DangerGirls Medium Armors [e38d23](MS)","危險女郎中型護甲 [e38d23](MS)"
armorDangerGirlsHeavyArmor,items,Item,,,"DangerGirls Heavy Armors [e38d23](MS)","危險女郎重型護甲 [e38d23](MS)"

armorFemaleClaireHelmet,items,Clothes,,,"Danger Claire Bandana [e38d23](MS)","危險克萊兒頭巾 [e38d23](MS)"
armorFemaleClaireOutfit,items,Clothes,,,"Danger Claire Outfit [e38d23](MS)","危險克萊兒服裝 [e38d23](MS)"
armorFemaleClaireGloves,items,Clothes,,,"Danger Claire Lucky Bracelet [e38d23](MS)","危險克萊兒幸運手環 [e38d23](MS)"
armorFemaleClaireBoots,items,Clothes,,,"Danger Claire Boots [e38d23](MS)","危險克萊兒靴子 [e38d23](MS)"

armorFemaleClaireHelmet_Barbie,items,Clothes,,,"Barbie Party Bandana [e38d23](MS)","芭比派對頭巾 [e38d23](MS)"
armorFemaleClaireOutfit_Barbie,items,Clothes,,,"Barbie Party Outfit [e38d23](MS)","芭比派對服裝 [e38d23](MS)"

armorFemaleClaireHelmetDesc,items,Clothes,,,"[e38d23]Light Armor[-]\n\nIf you know the enemy and know yourself, you need not fear the result of a hundred battles.\n\n[e38d23]Bandana Bonus:[-] Increase DMG with any Automatic Weapon.\n\n[e38d23]Full Set Bonus:[-] Damage Resistance & Less Fuel use.","[e38d23]輕型護甲[-]\n\n知己知彼，百戰不殆。\n\n[e38d23]頭巾加成：[-] 提升所有自動武器的傷害。\n\n[e38d23]全套加成：[-] 傷害抗性並減少燃料消耗。"
armorFemaleClaireOutfitDesc,items,Clothes,,,"[e38d23]Light Armor[-]\n\nThe Twins always get what they want.\nClaire by harsh Intimidation.\nBarbie by sweet Persuasion.\n\n[e38d23]Outfit Bonus:[-] Much better prices Buying and Selling.\n\n[e38d23]Full Set Bonus:[-] Damage Resistance & Less Fuel use.","[e38d23]輕型護甲[-]\n\n這對雙胞胎總能得到她們想要的。\n克萊兒靠強硬威嚇。\n芭比靠甜美勸誘。\n\n[e38d23]服裝加成：[-] 買賣價格大幅優惠。\n\n[e38d23]全套加成：[-] 傷害抗性並減少燃料消耗。"
armorFemaleClaireGlovesDesc,items,Clothes,,,"[e38d23]Light Armor[-]\n\nThis bracelet brings Fortune and Glory to its owner.\nAnd it is quite Fancy, that too.\n\n[e38d23]Bracelet Bonus:[-] Increase Loot Stage & Many More Dukes in Loot.\n\n[e38d23]Full Set Bonus:[-] Damage Resistance & Less Fuel use.","[e38d23]輕型護甲[-]\n\n這只手環為主人帶來財富與榮耀。\n而且還相當華麗。\n\n[e38d23]手環加成：[-] 提升戰利品等級並大幅增加戰利品中的金幣。\n\n[e38d23]全套加成：[-] 傷害抗性並減少燃料消耗。"
armorFemaleClaireBootsDesc,items,Clothes,,,"[e38d23]Light Armor[-]\n\nDo not let their appearance fool you.\nThe Twins are the toughest mobsters in Navezgane and know how to take a beating.\nYou are just lucky they are on your side. For now.\n\n[e38d23]Boots Bonus:[-] Increase Max Health.\n\n[e38d23]Full Set Bonus:[-] Damage Resistance & Less Fuel use.","[e38d23]輕型護甲[-]\n\n別被她們的外表騙了。\n這對雙胞胎是 Navezgane 最強悍的黑幫，很能挨打。\n你只是幸運，她們現在站在你這邊。目前是。\n\n[e38d23]靴子加成：[-] 提升最大生命值。\n\n[e38d23]全套加成：[-] 傷害抗性並減少燃料消耗。"

armorFemaleSnakeInFlowersHelmet_Hood,items,Clothes,,,"Snake Between Flowers Hood [e38d23](MS)","花間蛇頭罩 [e38d23](MS)"
armorFemaleSnakeInFlowersHelmet_Necklace,items,Clothes,,,"Snake Between Flowers Necklace [e38d23](MS)","花間蛇項鍊 [e38d23](MS)"
armorFemaleSnakeInFlowersOutfit,items,Clothes,,,"Snake Between Flowers Outfit [e38d23](MS)","花間蛇服裝 [e38d23](MS)"
armorFemaleSnakeInFlowersOutfit_NT,items,Clothes,,,"Snake Between Flowers 'No Tattoo' Outfit [e38d23](MS)","花間蛇「無刺青」服裝 [e38d23](MS)"
armorFemaleSnakeInFlowersGloves,items,Clothes,,,"Snake Between Flowers Gloves [e38d23](MS)","花間蛇手套 [e38d23](MS)"
armorFemaleSnakeInFlowersBoots,items,Clothes,,,"Snake Between Flowers Boots [e38d23](MS)","花間蛇靴子 [e38d23](MS)"

armorFemaleSnakeInFlowersHelmetDesc,items,Clothes,,,"[e38d23]Light Armor[-]\n\nYou know how to be one with the shadows.\nAnd when to reveal yourself to strike your enemy.\n\n[e38d23]Helmet Bonus:[-] Increase Stealth effectiveness & Sneak DMG.\n\n[e38d23]Full Set Bonus:[-] Much less Food & Water loss.","[e38d23]輕型護甲[-]\n\n你懂得與陰影融為一體。\n也知道何時現身給予敵人致命一擊。\n\n[e38d23]頭盔加成：[-] 提升潛行效果與偷襲傷害。\n\n[e38d23]全套加成：[-] 大幅減少食物與水分流失。"
armorFemaleSnakeInFlowersOutfitDesc,items,Clothes,,,"[e38d23]Light Armor[-]\n\nOnly peasants and fools need heavy clothes and armor.\nYou move like the wind and can vanish in an instant.\nThey will never catch you.\n\n[e38d23]Outfit Bonus:[-] Increase Run Speed.\n\n[e38d23]Full Set Bonus:[-] Much less Food & Water loss.","[e38d23]輕型護甲[-]\n\n只有平民和蠢蛋才需要厚重的衣物與護甲。\n你身形如風，能在瞬間消失無蹤。\n他們永遠抓不到你。\n\n[e38d23]服裝加成：[-] 提升奔跑速度。\n\n[e38d23]全套加成：[-] 大幅減少食物與水分流失。"
armorFemaleSnakeInFlowersGlovesDesc,items,Clothes,,,"[e38d23]Light Armor[-]\n\nYou have a talent for killing your objectives in a fast and quiet way, and you have mastered the Way of The Blade.\nBut a Silenced Gun will do if you do not have a knife at hand.\n\n[e38d23]Gloves Bonus:[-] Increase DMG with Blades & Supressed Weapons.\n\n[e38d23]Full Set Bonus:[-] Much less Food & Water loss.","[e38d23]輕型護甲[-]\n\n你天生擅長以迅速而無聲的方式解決目標，並已精通刀刃之道。\n但若手邊沒有刀，消音槍也行。\n\n[e38d23]手套加成：[-] 提升刀刃與消音武器的傷害。\n\n[e38d23]全套加成：[-] 大幅減少食物與水分流失。"
