Key,File,Type,UsedInMainMenu,NoTranslate,english,tchinese

armorVanillaReVampLightArmor,items,Item,,,"Vanilla ReVamp Light Armors [e38d23](MS)","原版翻新輕型護甲 [e38d23](MS)"
armorVanillaReVampMediumArmor,items,Item,,,"Vanilla ReVamp Medium Armors [e38d23](MS)","原版翻新中型護甲 [e38d23](MS)"
armorVanillaReVampHeavyArmor,items,Item,,,"Vanilla ReVamp Heavy Armors [e38d23](MS)","原版翻新重型護甲 [e38d23](MS)"

armorTheHitmanHelmet,items,Clothes,,,"The Hitman Glasses [e38d23](MS)","殺手墨鏡 [e38d23](MS)"
armorTheHitmanOutfit,items,Clothes,,,"The Hitman Suit [e38d23](MS)","殺手西裝 [e38d23](MS)"
armorTheHitmanGloves,items,Clothes,,,"The Hitman Gloves [e38d23](MS)","殺手手套 [e38d23](MS)"
armorTheHitmanBoots,items,Clothes,,,"The Hitman Shoes [e38d23](MS)","殺手皮鞋 [e38d23](MS)"

armorTheHitmanHelmetDesc,items,Clothes,,,"[e38d23]Light Armor[-]\n\nThey better give you a good price. Or else.\n\n[e38d23]Glasses Bonus:[-] Better prices when Buying or Selling.\n\n[e38d23]Full Set Bonus:[-] Increased DMG with Pistols and Revolvers.","[e38d23]輕型護甲[-]\n\n他們最好給你個好價錢。否則後果自負。\n\n[e38d23]墨鏡加成：[-] 買賣價格更優惠。\n\n[e38d23]全套加成：[-] 提升手槍與左輪的傷害。"
armorTheHitmanOutfitDesc,items,Clothes,,,"[e38d23]Light Armor[-]\n\n'Silicon carbide discs. Ceramic matrices. Cutting-edge body armour.\nWe just sew it between the fabric and the lining. Zero penetration.'\n\n[e38d23]Suit Bonus:[-] Increases resistance to critical injuries.\n\n[e38d23]Full Set Bonus:[-] Increased DMG with Pistols and Revolvers.","[e38d23]輕型護甲[-]\n\n「碳化矽板。陶瓷基材。最尖端的防彈衣。\n我們只是把它縫進布料與襯裡之間。零穿透。」\n\n[e38d23]西裝加成：[-] 提升重傷抗性。\n\n[e38d23]全套加成：[-] 提升手槍與左輪的傷害。"
