Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish
authstate_customversion,UI,AuthenticationMessages,x,,Waiting for version verification...,Waiting for version verification...,Waiting for version verification...,Waiting for version verification...,Waiting for version verification...,Waiting for version verification...,Waiting for version verification...,Waiting for version verification...,Waiting for version verification...,Waiting for version verification...,Waiting for version verification...,Waiting for version verification...,Waiting for version verification...,Waiting for version verification...,Waiting for version verification...
auth_ModVersionMismatch,UI,AuthenticationMessages,x,,Mods: {0},Mods: {0},Mods: {0},Mods: {0},Mods: {0},Mods: {0},Mods: {0},Mods: {0},Mods: {0},Mods: {0},Mods: {0},Mods: {0},Mods: {0},Mods: {0},Mods: {0},Mods: {0}
decoClawFootBathTub_PickedUp,blocks,Block,,,Claw Foot Tub,,Freistehende Badewanne mit Füßen,Bañera con patas,Baignoire surélevée,Vasca con piedini,クローフット型バスタブ,갈퀴 욕조,Staromodna wanna,Banheira,Ванна на лапах,Ayaklı Küvet,爪脚浴缸,獅爪浴缸,Bañera con patas
cntBathTubEmpty_PickedUp,blocks,Container,,,Empty Bathtub,,Leere Badewanne,Bañera vacía,Baignoire vide,Vasca vuota,空のバスタブ,빈 욕조,Pusta wanna,Banheira Vazia,Пустая ванна,Boş Küvet,空浴缸,空浴缸,Bañera vacía
cntGasGrillClosed_PickedUp,blocks,Container,,,Gas Grill,,Gasgrill,Parrilla de gasolina,Grill à gaz,Griglia a gas,ガソリングリル,가스 그릴,Grill gazowy,Churrasqueira a Gás,Газовый мангал,Gazlı Izgara,燃气烧烤炉,燃氣烤爐,Parrilla de gasolina
cntCashRegister_PickedUp,blocks,Container,,,Cash Register,,Registrierkasse,Caja registradora,Caisse enregistreuse,Registratore di cassa,キャッシュレジスター,금전 등록기,Kasa,Caixa Registradora,Кассовый аппарат,Kasa,收银机,收銀機,Caja registradora
cntCoffeeMaker_PickedUp,blocks,Container,,,Coffee Maker,,Kaffeeautomat,Cafetera,Cafetière,Macchina del caffè,コーヒーメーカー,커피 메이커,Kawiarka,Cafeteira,Кофемашина,Kahve Makinesi,咖啡机,咖啡機,Cafetera
cntToilet01_PickedUp,blocks,Container,,,Toilet,,Toilette,Baño,WC,Water,トイレ,변기,Toaleta,Vaso Sanitário,Унитаз,Tuvalet,马桶,廁所,Baño
cntGunRackSmallMagazines_PickedUp,blocks,Container,,,Equipment Rack,,Ausrüstungsständer,Estantería para equipo,Râtelier d'équipement,Rastrelliera per equipaggiamento,装備ラック,장비 진열대,Miejsce na wyposażenie,Prateleira de equipamentos,Стойка со снаряжением,Donatım Rafı,设备架,設備架,Estantería para equipo
cntAmmoPileSmall_PickedUp,blocks,Container,,,"Ammo Pile, Small",,"Haufen Munition, klein","Pila de munición, pequeña","Tas de munitions, petit",Pila di munizioni piccola,弾薬の山(小),탄환 더미 (소형),"Stos amunicji, mały",Pilha de Munição Pequena,Маленькая куча боеприпасов,"Mühimmat Yığını, Küçük",弹药堆-小,小型彈藥堆,"Pila de munición, pequeña"
cntGunRackSmallArmor_PickedUp,blocks,Container,,,Equipment Rack,,Ausrüstungsständer,Estantería para equipo,Râtelier d'équipement,Rastrelliera per equipaggiamento,装備ラック,장비 진열대,Miejsce na wyposażenie,Prateleira de equipamentos,Стойка со снаряжением,Donatım Rafı,设备架,設備架,Estantería para equipo
cntBookcaseFull_PickedUp,blocks,Container,,,Bookcase,,Bücherregal,Estantería,Bibliothèque,Libreria,ブックケース,책장,Regał na książki,Estante de Livros,Книжный шкаф,Kitaplık,书架,書櫃,Estantería
cntCharcoalGrillClosed_PickedUp,blocks,Container,,,Charcoal Grill,,Holzkohlegrill,Parrilla de carbón,Grill à charbon de bois,Griglia a carbonella,炭焼きグリル,숯불 그릴,Grill na węgiel drzewny,Churrasqueira a Carvão,Мангал,Mangal,炭烤架,木炭烤爐,Parrilla de carbón
cntChemPileSmall_PickedUp,blocks,block,,,Small Chemistry Set,,Kleines Chemieset,Equipo de química pequeño,Petit ensemble de chimie,Assortimento chimico piccolo,化学実験用品一式（小）,소형 화학 세트,Mały zestaw do chemii,Conjunto de química pequeno,Небольшой химический набор,Küçük Kimya Seti,小化学套装,化學套組（小）,Equipo de química pequeño
cntBackpack01_PickedUp,blocks,Container,,,Weathered Backpack,,Verwitterter Rucksack,Mochila erosionada,Sac à dos usé,Zaino consumato,色褪せたバックパック,오래된 백팩,Zszargany plecak,Mochila Molhada,Потрепанный рюкзак,Yıpranmış Sırt Çantası,风化的背包,褪色的背包,Mochila erosionada
cntCoolerClosed_PickedUp,blocks,Container,,,Cooler,,Kühlbox,Refrigerador,Glacière,Frigo portatile,クーラー,냉장고,Chłodziarka,Refrigerador,Холодильная камера,Soğutucu,便携冰箱,冷藏箱,Refrigerador
cntCoolerClosedGreen_PickedUp,blocks,block,,,Cooler,,Kühlbox,Refrigerador,Glacière,Frigo portatile,クーラー,냉장고,Zamrażarka,Refrigerador,Холодильник,Soğutucu,便携冰箱,冷凍櫃,Refrigerador
cntCoolerClosedRed_PickedUp,blocks,block,,,Cooler,,Kühlbox,Refrigerador,Glacière,Frigo portatile,クーラー,냉장고,Zamrażarka,Refrigerador,Холодильник,Soğutucu,便携冰箱,冷凍櫃,Refrigerador
cntBookShelfSingleBottomFull01_PickedUp,blocks,Container,,,Book Shelf,,Bücherregal,Biblioteca,Étagère de livres,Scaffale per libri,本棚,책장,Półki na książki,Estante de livros,Книжный шкаф,Kitap Rafı,书架,書架,Biblioteca
cntCupboardCabinetRedTopLootHelper_PickedUp,blocks,Container,,,Cupboard Red,,Roter Schrank,Despensa roja,Placard rouge,Credenza rossa,カップボード（レッド）,찬장 (붉은색),"Szafka, czerwona,"",Guarda-louça vermelho,",Красный буфет,",Büfe Kırmızı,",红色碗柜,",紅色碗櫥,",Despensa roja
cntCabinetBottomRandomLootHelper_PickedUp,blocks,Container,,,Cabinet,,Unterschrank,Vitrina,Armoire,Mobiletto,キャビネット,캐비닛,Szafa,",Gabinete,",Шкафчик,",Dolap,",橱柜,",櫥櫃,",Vitrina
cntCabinetOldBottomLootHelper_PickedUp,blocks,Container,,,Cabinet Old,,Alter Unterschrank,Vitrina vieja,Vieille armoire,Vecchio mobiletto,ぼろキャビネット,캐비닛 (낡음),"Szafa, stara,"",Gabinete velho,",Старая мебель,",Dolap Eski,",旧橱柜,",舊櫥櫃,",Vitrina vieja
cntCupboardCabinetOldTopLootHelper_PickedUp,blocks,Container,,,Cupboard Old,,Alter Schrank,Despensa vieja,Vieux placard,Vecchia credenza,ぼろカップボード,찬장 (낡음),"Szafka, stara,"",Guarda-louça antigo,",Старый буфет,",Büfe Eski,",旧碗柜,",舊碗櫥,",Despensa vieja
cntFileCabinetShortClosed_PickedUp,blocks,Container,,,File Cabinet,,Aktenschrank,Archivero,Meuble à tiroirs,Schedario piccolo,ファイルキャビネット,파일 캐비닛,Szafa na akta,Arquivo,Шкаф для бумаг,Dosya Dolabı,文件柜,文件櫃,Archivero
cntFileCabinetTallClosed_PickedUp,blocks,Container,,,File Cabinet,,Aktenschrank,Archivador,Meuble à tiroirs,Schedario grande,ファイルキャビネット,파일 캐비닛,Szafa na akta,Arquivo,Шкаф для бумаг,Dosya Dolabı,文件柜,文件櫃
palletBrownBoxesTile_PickedUp,blocks,Block,,,"Brown Boxes",,"Palette, braune Kisten, Platte","Baldosa, cajas marrones, palé","Palette, cartons marron, dalle",Insieme di scatole marroni per bancale,パレット組ブラウンボックス・土台なし,"받침대 (갈색 상자, 타일)","Paleta, brązowe pudła, kafelek","Palete, caixas marrons, piso",Платформа из коричневых коробок на плитке,"Palet, Kahverengi Kutular, Karo",底板 棕色盒子 瓷砖,棧板，棕色箱，貼磚,"Baldosa, cajas marrones, palé"
