Key,File,Type,UsedInMainMenu,NoTranslate,english,tchinese

armorSomeTradersJennyAndGinno,items,Item,,,"Jenny & Ginno Outfits [e38d23](MS)","珍妮與吉諾服裝 [e38d23](MS)"
armorSomeTradersRektAndBecky,items,Item,,,"Rekt & Becky Outfits [e38d23](MS)","雷克特與貝琪服裝 [e38d23](MS)"
armorSomeTradersBobAndBobby,items,Item,,,"Bob & Bobby Outfits [e38d23](MS)","鮑伯與鮑比服裝 [e38d23](MS)"


armorUnisexJenHelmet,items,Clothes,,,"Jenny & Ginno Bandana [e38d23](MS)","珍妮與吉諾頭巾 [e38d23](MS)"
armorUnisexJenOutfit,items,Clothes,,,"Jenny & Ginno Outfit [e38d23](MS)","珍妮與吉諾服裝 [e38d23](MS)"
armorUnisexJenGloves,items,Clothes,,,"Jenny & Ginno Watch [e38d23](MS)","珍妮與吉諾手錶 [e38d23](MS)"
armorUnisexJenBoots,items,Clothes,,,"Jenny & Ginno Boots [e38d23](MS)","珍妮與吉諾靴子 [e38d23](MS)"

armorUnisexJenHelmetDesc,items,Clothes,,,"[e38d23]Light Armor[-]\n\nYou finished your medical training in a record time, and still have an easy time learning new things.\n\n[e38d23]Bandana Bonus:[-] Increase XP Gain.\n\n[e38d23]Full Set Bonus:[-] Reduced % of Critical Injuries & Infection.","[e38d23]輕型護甲[-]\n\n你以破紀錄的時間完成了醫療訓練，學習新事物對你來說依然輕而易舉。\n\n[e38d23]頭巾加成：[-] 提升經驗值獲得。\n\n[e38d23]全套加成：[-] 降低重傷與感染的機率。"
armorUnisexJenOutfitDesc,items,Clothes,,,"[e38d23]Light Armor[-]\n\nYou are always an example for your patients. You do not eat fast food, you sleep enough hours, and you keep all kind of boring habits to stay healthy.\n\n[e38d23]Outfit Bonus:[-] Increased Max Health.\n\n[e38d23]Full Set Bonus:[-] Reduced % of Critical Injuries & Infection.","[e38d23]輕型護甲[-]\n\n你總是病患的表率。你不吃速食，睡眠充足，並維持各種無趣卻健康的習慣。\n\n[e38d23]服裝加成：[-] 提升最大生命值。\n\n[e38d23]全套加成：[-] 降低重傷與感染的機率。"
armorUnisexJenGlovesDesc,items,Clothes,,,"[e38d23]Light Armor[-]\n\nYour surgical training teached you how to best use a blade to cure your patients...or to finish them.\n\n[e38d23]Watch Bonus:[-] Increase DMG and % for Instant Kill with Bladed Weapons.\n\n[e38d23]Full Set Bonus:[-] Reduced % of Critical Injuries & Infection.","[e38d23]輕型護甲[-]\n\n外科訓練教會你如何最妥善地用刀刃治療病患……或了結他們。\n\n[e38d23]手錶加成：[-] 提升刀刃武器的傷害與秒殺機率。\n\n[e38d23]全套加成：[-] 降低重傷與感染的機率。"
armorUnisexJenBootsDesc,items,Clothes,,,"[e38d23]Light Armor[-]\n\nRunning around all day from one emergency to the next keeps you in good shape.\n\n[e38d23]Boots Bonus:[-] Increase Run Speed.\n\n[e38d23]Full Set Bonus:[-] Reduced % of Critical Injuries & Infection.","[e38d23]輕型護甲[-]\n\n整天從一場急救奔波到下一場，讓你保持良好體態。\n\n[e38d23]靴子加成：[-] 提升奔跑速度。\n\n[e38d23]全套加成：[-] 降低重傷與感染的機率。"


armorUnisexRektHelmet,items,Clothes,,,"Rekt & Becky Cap [e38d23](MS)","雷克特與貝琪帽子 [e38d23](MS)"
armorUnisexRektOutfit,items,Clothes,,,"Rekt & Becky Outfit [e38d23](MS)","雷克特與貝琪服裝 [e38d23](MS)"
armorUnisexRektGloves,items,Clothes,,,"Rekt & Becky Watch [e38d23](MS)","雷克特與貝琪手錶 [e38d23](MS)"
