Key,Source,Context,english,tchinese
HazmatTrader_Viper,,,Carl,卡爾
apartmentLockboxClosedGrey,,,Bank Vault Lock Box,銀行金庫保險箱
apartmentLockboxClosedWhite,,,Bank Vault Lock Box,銀行金庫保險箱
apartmentSmallLockboxClosedWhite,,,Bank Vault Lock Box,銀行金庫保險箱
apartmentSmallLockboxClosedGrey,,,Bank Vault Lock Box,銀行金庫保險箱
CFBedrockShapes:VariantHelper,,,CF Bedrock Block,CF 基岩方塊
CFBedrockDesc,,,Bedrock walls offer Best protection from people like Lord_reveka,基岩牆能提供最佳防護，抵禦像 Lord_reveka 這樣的人
CF_title,,,"Cannon_Fodder83 Custom POI's and Assets",Cannon_Fodder83 自訂 POI 與資源
CF,,,"Custom Traders and questable POI's by Cannon_Fodder83",由 Cannon_Fodder83 製作的自訂商人與可接任務 POI
CF_Remnant_Hospital_Hive,,,"Saint Mercy's Hollow",聖慈窪地
CF_Army_Camp_666,,,"Bandit Military Base",土匪軍事基地
CF_casino,,,"Royal Flush Casino's",皇家同花順賭場
CF_Mountain_Remnant_Observatory,,,"Elderstone Observatory",古石天文台
CF_Abandoned_Fallout_Shelter,,,"Fallout Shelter",輻射避難所
CF_Car_Dealership_01,,,"Cannon's Cars",坎農汽車行
CF_Unknown_Crash_Site,,,"Unknown Aircraft Impact Zone",不明飛行器墜毀區
CF_Nuclear_Missile_Silo,,,"NORAD Missile Complex",NORAD 飛彈基地
CF_The_Tipsy_Raccoon_Strip_Club_01,,,"The Tipsy Raccoon",醉醺浣熊
CF_Center_for_Disease_and_Control_01,,,"Last Hope CDC",最後希望疾管中心
CF_Military_Cache,,,"Bandit Supplies",土匪補給
CF_Dead_to_Rights_International_Airport_02,,,Dead Rights International Airport,殞命國際機場
CF_Military_Supply_Stash,,,"Bandit Stash",土匪藏匿處
CF_Misdrop_Airdrop,,,"Airdrop",空投
CF_Private_Airstrip,,,"Black Ops Airstrip",黑色行動跑道
CF_army_helo_outpost,,,"Fort Chaos",混沌堡
CF_Trauma_Center,,,"Saint Verona Trauma Center",聖維羅納創傷中心
CF_trader_hub,,,"The Trader's",商人據點
CF_farm_18,,,"The Biodome Complex",生態圓頂建築群
CF_powerplant,,,"Sol Invictus Nuclear",Sol Invictus 核電廠
Viper_rollUpDoor5x4Blue,,,"Vipers Edible Undies",維波的可食用內褲
cntRollingToolBoxClosedBlueViperCustom,,,"Medical Toolbox",醫療工具箱
MedicalLockerTallViper,,,"Medical Locker",醫療置物櫃
MedicalContainer,,,"Medical Container",醫療容器
MedicalCrateBox,,,"Medical Crate Box",醫療木箱
HardenedChestBlackSecureT5,,,"Special Operations Military Locker",特種作戰軍用置物櫃
HardenedChestBlackInsecureT5,,,"Special Operations Military Locker",特種作戰軍用置物櫃
drugCFSuperAntibiotics,,,"X-Rad Vial",X-Rad 藥劑
drugCFSuperAntibioticsDesc,,,"Super Rare Anti-Radiation Vial to cure radiation poisoning",超稀有抗輻射藥劑，可治療輻射中毒
drugCFAntibiotics,,,"Z-Med Vial",Z-Med 藥劑
drugCFAntibioticsDesc,,,"Rare Anti-Infection Vial to cure infection from being bitten or scratched",稀有抗感染藥劑，可治療因咬傷或抓傷導致的感染
LittleBirdBlock,,,"MH-6 Little Bird",MH-6 小鳥直升機
CF_fire_station_06,,,"Hell Diver's Fire Station",地獄跳水者消防局
