Key,File,Type,UsedInMainMenu,NoTranslate,english,tchinese


armorTemLightArmor,items,Item,,,"The Casual Guy Armor [e38d23](MS)","休閒男護甲 [e38d23](MS)"
armorTemLightArmorDesc,items,Item,,,"You prioritize mobility over protection.\nA standard backpack will help you carry a little more.\nIdeal for warm weather, but you will suffer when temperature drops. [e38d23](MS)","你重視機動性勝過防護。\n標準背包能幫你多帶一些東西。\n適合溫暖天氣，但氣溫一降你就會吃苦頭。 [e38d23](MS)"
armorTemMediumArmor,items,Item,,,"The Undecided Armor [e38d23](MS)","猶豫男護甲 [e38d23](MS)"
armorTemMediumArmorDesc,items,Item,,,"You could not decide between light and heavy, so you settled for a middle ground solution.\nA big backpack will help you carry a most of your garbage.\nIt does not excel in terms of insulation but will do well both in warm and cold environments. Sort of. [e38d23](MS)","你在輕型與重型之間拿不定主意，於是選了個折衷方案。\n大背包能幫你裝下大部分的破爛。\n它的保暖性並不出色，但在溫暖與寒冷環境都還算堪用。算是吧。 [e38d23](MS)"
armorTemHeavyArmor,items,Item,,,"The Tank Armor [e38d23](MS)","坦克護甲 [e38d23](MS)"
armorTemHeavyArmorDesc,items,Item,,,"You always played the 'tank' in MMORPG and the Zombie Apocalypse is just another game.\nA huge backpack will allow you to go full 'Loot Goblin' mode. Enjoy.\nMany layers of heavy protective fabric will insulate you from the cold but it will cook you in warm climates. [e38d23](MS)","你在 MMORPG 裡總是當「坦克」，而喪屍末日不過是另一款遊戲罷了。\n超大背包讓你能全力進入「拾荒哥布林」模式。盡情享受吧。\n多層厚重的防護布料能為你隔絕寒冷，但在溫暖氣候下會把你悶熟。 [e38d23](MS)"

armorTemLightHelmet,items,Clothes,,,"Casual Guy Cap [e38d23](MS)","休閒男帽子 [e38d23](MS)"
armorTemLightOutfit,items,Clothes,,,"Casual Guy Outfit [e38d23](MS)","休閒男服裝 [e38d23](MS)"
armorTemLightGloves,items,Clothes,,,"Casual Guy Gloves [e38d23](MS)","休閒男手套 [e38d23](MS)"
armorTemLightBoots,items,Clothes,,,"Casual Guy Shoes [e38d23](MS)","休閒男鞋子 [e38d23](MS)"

armorTemLightHelmetDesc,items,Clothes,,,"[e38d23]Light Armor[-]\n\nIdeal for warm weather, but you will suffer when temperature drops.\nYou prioritize mobility over protection.\n\n[e38d23]Cap Bonus:[-] Increases loot stage.\n\n[e38d23]Full Set Bonus:[-] More Dukes in Loot.","[e38d23]輕型護甲[-]\n\n適合溫暖天氣，但氣溫一降你就會吃苦頭。\n你重視機動性勝過防護。\n\n[e38d23]帽子加成：[-] 提升戰利品等級。\n\n[e38d23]全套加成：[-] 戰利品中的金幣更多。"
