Key,File,Type,UsedInMainMenu,NoTranslate,english,tchinese

armorTWDLightArmor,items,Item,,,"The Walking Dead Light Armors [e38d23](MS)","陰屍路輕型護甲 [e38d23](MS)"
armorTWDMediumArmor,items,Item,,,"The Walking Dead Medium Armors [e38d23](MS)","陰屍路中型護甲 [e38d23](MS)"


armorUnisexDarylTWDHelmet,items,Clothes,,,"Daryl Ears Necklace [e38d23](MS)","戴瑞耳朵項鍊 [e38d23](MS)"
armorUnisexDarylTWDOutfit,items,Clothes,,,"Daryl Outfit [e38d23](MS)","戴瑞服裝 [e38d23](MS)"
armorUnisexDarylTWDGloves,items,Clothes,,,"Daryl Bracelet [e38d23](MS)","戴瑞手鍊 [e38d23](MS)"
armorUnisexDarylTWDBoots,items,Clothes,,,"Daryl Shoes [e38d23](MS)","戴瑞鞋子 [e38d23](MS)"

armorUnisexDarylTWDHelmetDesc,items,Clothes,,,"[e38d23]Light Armor[-]\n\nYou did not get all these ears by being slow.\n\n[e38d23]Ears Necklace Bonus:[-] Faster Reload with Crossbows.\n\n[e38d23]Full Set Bonus:[-] Armor Bonus & Less Fuel Use.","[e38d23]輕型護甲[-]\n\n這一串耳朵可不是靠手腳慢蒐集來的。\n\n[e38d23]耳朵項鍊加成：[-] 加快十字弓裝填速度。\n\n[e38d23]全套加成：[-] 護甲加成並減少燃料消耗。"
armorUnisexDarylTWDOutfitDesc,items,Clothes,,,"[e38d23]Light Armor[-]\n\nThese muddy dirty clothes will help you remain unnoticed\n\n[e38d23]Outfit Bonus:[-] Improved Stealth.\n\n[e38d23]Full Set Bonus:[-] Armor Bonus & Less Fuel Use.","[e38d23]輕型護甲[-]\n\n這身沾滿泥巴的髒衣服能幫你不被察覺\n\n[e38d23]服裝加成：[-] 提升潛行。\n\n[e38d23]全套加成：[-] 護甲加成並減少燃料消耗。"
