Key,File,Type,UsedInMainMenu,NoTranslate,english,tchinese

armorGoofyLightArmor,items,Item,,,"Goofy Time Light Armors [e38d23](MS)","搞怪時光輕型護甲 [e38d23](MS)"
armorGoofyMediumArmor,items,Item,,,"Goofy Time Medium Armors [e38d23](MS)","搞怪時光中型護甲 [e38d23](MS)"


armorFemaleBadCopHelmet,items,Clothes,,,"Bad Cop Hat [e38d23](MS)","壞警察帽子 [e38d23](MS)"
armorFemaleBadCopOutfit,items,Clothes,,,"Bad Cop Outfit [e38d23](MS)","壞警察服裝 [e38d23](MS)"
armorFemaleBadCopGloves,items,Clothes,,,"Bad Cop Gloves [e38d23](MS)","壞警察手套 [e38d23](MS)"
armorFemaleBadCopBoots,items,Clothes,,,"Bad Cop Boots [e38d23](MS)","壞警察靴子 [e38d23](MS)"

armorFemaleBadCopHelmetDesc,items,Clothes,,,"[e38d23]Light Armor[-]\n\nYou know how to find all the good stuff.\n\n[e38d23]Hat Bonus:[-] Increase Loot Stage & Many More Dukes in Loot.\n\n[e38d23]Full Set Bonus:[-] Faster Reload with any Weapon.","[e38d23]輕型護甲[-]\n\n你懂得如何找到所有好東西。\n\n[e38d23]帽子加成：[-] 提升戰利品等級並大幅增加戰利品金幣。\n\n[e38d23]全套加成：[-] 加快任何武器的裝填速度。"
armorFemaleBadCopOutfitDesc,items,Clothes,,,"[e38d23]Light Armor[-]\n\nAll that body oil makes your body super slick and difficult to grab by excited customers and hungry zombies.\n\n[e38d23]Outfit Bonus:[-] Damage Resistant.\n\n[e38d23]Full Set Bonus:[-] Faster Reload with any Weapon.","[e38d23]輕型護甲[-]\n\n滿身的身體油讓你滑溜溜的，興奮的顧客和飢餓的喪屍都難以抓住你。\n\n[e38d23]服裝加成：[-] 傷害抗性。\n\n[e38d23]全套加成：[-] 加快任何武器的裝填速度。"
armorFemaleBadCopGlovesDesc,items,Clothes,,,"[e38d23]Light Armor[-]\n\nYou might not be a 'real' cop, but you know how to use all their gadgets\n\n[e38d23]Gloves Bonus:[-] DMG Bonus Batons, Pistols & Revolvers.\n\n[e38d23]Full Set Bonus:[-] Faster Reload with any Weapon.","[e38d23]輕型護甲[-]\n\n你或許不是「真正的」警察，但你懂得使用他們所有的裝備\n\n[e38d23]手套加成：[-] 提升警棍、手槍與左輪的傷害。\n\n[e38d23]全套加成：[-] 加快任何武器的裝填速度。"
